,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Axim,GH,4.8699,-2.2405,80.87,86,0,10.07,clear sky
329,Byron Bay,AU,-28.65,153.6167,68.0,94,40,3.44,light rain
330,Ust-Tsilma,RU,65.441,52.1498,22.46,98,41,4.18,scattered clouds
331,Bethanien,NA,-26.502,17.1583,85.26,23,100,5.86,overcast clouds
332,Zalari,RU,53.5584,102.5065,31.1,99,99,3.44,light snow
333,Panguna,PG,-6.3164,155.4848,68.34,95,100,2.1,light rain
334,Sorland,NO,67.667,12.6934,33.8,64,75,12.66,broken clouds
335,Jiuquan,CN,39.7432,98.5174,42.89,61,76,5.82,broken clouds
336,Becerril,CO,9.7041,-73.2793,87.78,55,100,1.23,overcast clouds
337,Ust-Uda,RU,54.1742,103.0304,22.53,98,93,2.3,overcast clouds
338,Saint-Augustin,CA,51.226,-58.6502,37.29,99,100,15.35,overcast clouds
339,Iskateley,RU,67.6803,53.1512,11.39,96,34,7.23,scattered clouds
340,Awbari,LY,26.5921,12.7805,79.23,9,12,13.13,few clouds
341,Amapa,BR,1.0,-52.0,79.3,94,79,4.12,broken clouds
342,Chulumani,BO,-16.4096,-67.5263,68.68,91,100,3.47,light rain
343,Ouadda,CF,8.0777,22.4007,84.96,14,66,9.71,broken clouds
344,San Jose,US,37.3394,-121.895,62.01,54,75,4.61,broken clouds
345,Lashio,MM,22.9333,97.75,66.83,54,100,2.21,overcast clouds
346,Kirillov,RU,59.863,38.3813,37.4,65,40,8.95,light rain
347,Polyarnyy,RU,69.1989,33.4478,33.8,86,40,11.18,light rain
